94908KDBQ DBQ20050501000009505/01/05 00:00:49  5-MIN KDBQ 010600Z 22003KT 10SM CLR 01/M02 A2999 1010 85 -400 220/03 RMK AO2
94908KDBQ DBQ20050501000509505/01/05 00:05:31  5-MIN KDBQ 010605Z 22003KT 10SM CLR 01/M02 A2999 1010 85 -400 220/03 RMK AO2
94908KDBQ DBQ20050501001009505/01/05 00:10:31  5-MIN KDBQ 010610Z 22003KT 10SM CLR 00/M02 A2999 1020 88 -500 210/03 RMK AO2
94908KDBQ DBQ20050501001509505/01/05 00:15:32  5-MIN KDBQ 010615Z 22003KT 10SM CLR 00/M02 A2999 1020 85 -500 220/03 RMK AO2
94908KDBQ DBQ20050501002009405/01/05 00:20:31  5-MIN KDBQ 010620Z 22003KT 9SM CLR 00/M02 A2998 1020 85 -500 220/03 RMK AO2
94908KDBQ DBQ20050501002509405/01/05 00:25:31  5-MIN KDBQ 010625Z 21003KT 9SM CLR 00/M02 A2998 1020 85 -500 210/03 RMK AO2
94908KDBQ DBQ20050501003009505/01/05 00:30:31  5-MIN KDBQ 010630Z 22004KT 9SM CLR M01/M03 A2998 1020 85 -500 210/04 RMK AO2
94908KDBQ DBQ20050501003509505/01/05 00:35:31  5-MIN KDBQ 010635Z 21004KT 9SM CLR M01/M03 A2998 1020 85 -500 210/04 RMK AO2
94908KDBQ DBQ20050501004009805/01/05 00:40:31  5-MIN KDBQ 010640Z 22004KT 9SM FEW110 M01/M03 A2998 1020 85 -500 220/04 RMK AO2
94908KDBQ DBQ20050501004509805/01/05 00:45:31  5-MIN KDBQ 010645Z 23005KT 8SM SCT100 M01/M02 A2998 1030 88 -500 220/05 RMK AO2
94908KDBQ DBQ20050501005011405/01/05 00:50:31  5-MIN KDBQ 010650Z 23005KT 8SM SCT090 00/M02 A2998 1030 85 -500 220/05 RMK AO2 SLP159 T00001022
94908KDBQ DBQ20050501034512605/01/05 03:45:31  5-MIN KDBQ 010945Z 27008KT 7SM RA SCT022 BKN047 OVC100  02/01 A2998 1020 89 -200 270/08 RMK AO2 RAB34 P0001
94908KDBQ DBQ20050501035014405/01/05 03:50:31  5-MIN KDBQ 010950Z 26009KT 10SM -RA SCT026 BKN047 OVC065 02/01 A2998 1030 89 -200 260/09 RMK AO2 RAB34 SLP158 P0001 T00220006
94908KDBQ DBQ20050501035514405/01/05 03:55:31  5-MIN KDBQ 010955Z 26008KT 10SM FEW022 SCT047 OVC065  03/01 A2997 1030 85 -100 260/08 RMK AO2 RAB34E52 SLP156 P0001 T00280006
94908KDBQ DBQ20050501040011205/01/05 04:00:31  5-MIN KDBQ 011000Z 26008KT 10SM FEW020 BKN070 OVC100  03/01 A2997 1030 85 -100 260/08 RMK AO2
94908KDBQ DBQ20050501040511205/01/05 04:05:31  5-MIN KDBQ 011005Z 26008KT 10SM FEW037 BKN070 OVC100  02/01 A2997 1030 89 -200 250/08 RMK AO2
94908KDBQ DBQ20050501041011205/01/05 04:10:31  5-MIN KDBQ 011010Z 25008KT 10SM BKN065 BKN075 OVC095  02/01 A2997 1030 89 -200 250/08 RMK AO2
94908KDBQ DBQ20050501041510505/01/05 04:15:31  5-MIN KDBQ 011015Z 26008KT 10SM BKN070 OVC090 02/01  A2997 1030 89 -200 250/08 RMK AO2
94908KDBQ DBQ20050501042010505/01/05 04:20:31  5-MIN KDBQ 011020Z 26009KT 10SM SCT070 OVC090 02/01  A2997 1030 89 -200 260/09 RMK AO2
94908KDBQ DBQ20050501042510505/01/05 04:25:31  5-MIN KDBQ 011025Z 26009KT 10SM FEW075 BKN090 02/01  A2997 1030 89 -200 260/09 RMK AO2
94908KDBQ DBQ20050501043010505/01/05 04:30:31  5-MIN KDBQ 011030Z 26009KT 10SM FEW075 BKN090 02/01  A2997 1030 89 -200 260/09 RMK AO2
94908KDBQ DBQ20050501043510505/01/05 04:35:31  5-MIN KDBQ 011035Z 26009KT 10SM FEW080 SCT090 02/00  A2997 1030 89 -200 260/09 RMK AO2
94908KDBQ DBQ20050501044009705/01/05 04:40:31  5-MIN KDBQ 011040Z 26009KT 10SM FEW090 02/00 A2997 1030 85 -200 260/09 RMK AO2
94908KDBQ DBQ20050501044509705/01/05 04:45:31  5-MIN KDBQ 011045Z 26009KT 10SM FEW090 02/00 A2997 1030 89 -200 260/09 RMK AO2
94908KDBQ DBQ20050501045011105/01/05 04:50:31  5-MIN KDBQ 011050Z 26009KT 10SM CLR 02/00 A2997 1030 89 -200 260/09 RMK AO2 SLP155 T00170000
94908KDBQ DBQ20050501045511105/01/05 04:55:31  5-MIN KDBQ 011055Z 27009KT 10SM CLR 02/00 A2997 1030 89 -200 270/09 RMK AO2 SLP156 T00170000
94908KDBQ DBQ20050501050009405/01/05 05:00:31  5-MIN KDBQ 011100Z 27010KT 10SM CLR 02/00 A2997 1030 89 -300 270/10 RMK AO2
94908KDBQ DBQ20050501050509405/01/05 05:05:31  5-MIN KDBQ 011105Z 28011KT 10SM CLR 02/00 A2997 1030 85 -200 280/11 RMK AO2
94908KDBQ DBQ20050501051009705/01/05 05:10:31  5-MIN KDBQ 011110Z 28010KT 10SM FEW047 02/00 A2997 1030 85 -200 280/10 RMK AO2
94908KDBQ DBQ20050501051510505/01/05 05:15:31  5-MIN KDBQ 011115Z 28011KT 10SM FEW037 SCT047 02/00  A2997 1030 85 -200 280/11 RMK AO2
94908KDBQ DBQ20050501052010505/01/05 05:20:31  5-MIN KDBQ 011120Z 28011KT 10SM SCT035 SCT047 02/00  A2997 1030 85 -200 280/11 RMK AO2
94908KDBQ DBQ20050501052511205/01/05 05:25:31  5-MIN KDBQ 011125Z 27010KT 10SM SCT035 SCT047 BKN085  02/01 A2998 1030 89 -200 270/10 RMK AO2
94908KDBQ DBQ20050501053011205/01/05 05:30:31  5-MIN KDBQ 011130Z 27011KT 10SM FEW035 SCT047 BKN085  02/01 A2998 1030 89 -200 270/11 RMK AO2
94908KDBQ DBQ20050501053511205/01/05 05:35:31  5-MIN KDBQ 011135Z 27011KT 10SM FEW035 SCT047 OVC085  02/01 A2998 1030 89 -200 270/11 RMK AO2
94908KDBQ DBQ20050501054010505/01/05 05:40:31  5-MIN KDBQ 011140Z 27010KT 10SM FEW035 OVC085 02/01  A2998 1030 89 -200 270/10 RMK AO2
94908KDBQ DBQ20050501054510505/01/05 05:45:31  5-MIN KDBQ 011145Z 28011KT 10SM FEW035 OVC085 02/01  A2998 1020 89 -200 280/11 RMK AO2
94908KDBQ DBQ20050501055014405/01/05 05:50:31  5-MIN KDBQ 011150Z 28010KT 10SM BKN085 02/01 A2998 1020 89 -200 280/10 RMK AO2 SLP161 60001 70001 T00220006 10033 21011 55004
94908KDBQ DBQ20050501055515205/01/05 05:55:31  5-MIN KDBQ 011155Z 28010KT 10SM FEW038 OVC085 02/01  A2998 1020 89 -200 280/10 RMK AO2 SLP161 60001 70001 T00220006 10033 21011 53002
94908KDBQ DBQ20050501060010505/01/05 06:00:31  5-MIN KDBQ 011200Z 28010KT 10SM SCT038 OVC085 03/01  A2999 1020 85 -100 280/10 RMK AO2
94908KDBQ DBQ20050501060510505/01/05 06:05:31  5-MIN KDBQ 011205Z 28011KT 10SM SCT042 OVC085 03/01  A2999 1020 85 -100 280/11 RMK AO2
94908KDBQ DBQ20050501061011205/01/05 06:10:31  5-MIN KDBQ 011210Z 28012KT 10SM SCT042 BKN050 OVC085  03/01 A2999 1020 85 -100 280/12 RMK AO2
94908KDBQ DBQ20050501061511205/01/05 06:15:31  5-MIN KDBQ 011215Z 27010KT 10SM SCT043 BKN050 OVC085  03/01 A2999 1010 85 -100 270/10 RMK AO2
94908KDBQ DBQ20050501062011205/01/05 06:20:31  5-MIN KDBQ 011220Z 28012KT 10SM SCT043 BKN050 OVC080  03/01 A2999 1010 85 -100 280/12 RMK AO2
94908KDBQ DBQ20050501062511205/01/05 06:25:31  5-MIN KDBQ 011225Z 28012KT 10SM FEW043 BKN050 OVC080  03/01 A2999 1010 89 -100 280/12 RMK AO2
94908KDBQ DBQ20050501063010505/01/05 06:30:31  5-MIN KDBQ 011230Z 28012KT 10SM BKN050 OVC080 03/01  A2999 1010 85 -100 280/12 RMK AO2
94908KDBQ DBQ20050501063510505/01/05 06:35:31  5-MIN KDBQ 011235Z 29010KT 10SM BKN050 OVC080 03/01  A2999 1010 85 -100 290/10 RMK AO2
94908KDBQ DBQ20050501064010405/01/05 06:40:31  5-MIN KDBQ 011240Z 29014G18KT 10SM OVC048 03/01 A3000  1010 85 -100 290/14G18 RMK AO2
94908KDBQ DBQ20050501064510405/01/05 06:45:31  5-MIN KDBQ 011245Z 29014G18KT 10SM OVC048 03/01 A3000  1010 85 -100 290/14G18 RMK AO2
94908KDBQ DBQ20050501065011405/01/05 06:50:31  5-MIN KDBQ 011250Z 29014KT 10SM OVC048 03/01 A3000 1010 82 -100 290/14 RMK AO2 SLP167 T00330006
94908KDBQ DBQ20050501065511405/01/05 06:55:31  5-MIN KDBQ 011255Z 29012KT 10SM BKN048 03/01 A3000 1000 82 -100 280/12 RMK AO2 SLP168 T00330006
94908KDBQ DBQ20050501070009705/01/05 07:00:31  5-MIN KDBQ 011300Z 28012KT 10SM BKN048 03/01 A3000 1000 82 -100 280/12 RMK AO2
94908KDBQ DBQ20050501070510205/01/05 07:05:31  5-MIN KDBQ 011305Z 29012KT 10SM SCT048 SCT060 04/01  A3000 1000 82 0 280/12 RMK AO2
94908KDBQ DBQ20050501071010205/01/05 07:10:31  5-MIN KDBQ 011310Z 29014KT 10SM FEW048 BKN060 04/01  A3000 1000 79 0 280/14 RMK AO2
94908KDBQ DBQ20050501071510205/01/05 07:15:31  5-MIN KDBQ 011315Z 29012KT 10SM FEW048 BKN060 04/01  A3000 1000 79 0 290/12 RMK AO2
94908KDBQ DBQ20050501072010205/01/05 07:20:31  5-MIN KDBQ 011320Z 29014KT 10SM BKN060 BKN080 04/01  A3000 1000 76 0 290/14 RMK AO2
94908KDBQ DBQ20050501072510405/01/05 07:25:31  5-MIN KDBQ 011325Z 30012KT 10SM SCT060 BKN080 05/01  A3000 1000 73 100 300/12 RMK AO2
94908KDBQ DBQ20050501073011105/01/05 07:30:31  5-MIN KDBQ 011330Z 29015KT 10SM FEW023 SCT060 BKN080  05/01 A3000 1000 73 100 290/15 RMK AO2
94908KDBQ DBQ20050501073511105/01/05 07:35:31  5-MIN KDBQ 011335Z 30015KT 10SM FEW026 BKN055 BKN080  05/00 A3000 1000 70 100 300/15 RMK AO2
94908KDBQ DBQ20050501074011105/01/05 07:40:31  5-MIN KDBQ 011340Z 29016KT 10SM FEW023 BKN060 BKN080  05/00 A3000 1000 70 100 290/16 RMK AO2
94908KDBQ DBQ20050501074511005/01/05 07:45:31  5-MIN KDBQ 011345Z 29014KT 10SM SCT027 SCT055 BKN080  04/M01 A3000 1000 70 0 280/14 RMK AO2
94908KDBQ DBQ20050501075012905/01/05 07:50:31  5-MIN KDBQ 011350Z 29017KT 10SM SCT027 SCT055 SCT080  05/M01 A3000 1000 67 100 290/17 RMK AO2 SLP169 T00501006
94908KDBQ DBQ20050501075511405/01/05 07:55:31  5-MIN KDBQ 011355Z 30015KT 10SM FEW027 05/M01 A3000 1000 67 100 300/15 RMK AO2 SLP169 T00501006
94908KDBQ DBQ20050501080009605/01/05 08:00:31  5-MIN KDBQ 011400Z 31016KT 10SM SCT027 06/00 A3000 1000 67 100 310/16 RMK AO2
94908KDBQ DBQ20050501080509605/01/05 08:05:31  5-MIN KDBQ 011405Z 29018KT 10SM SCT027 06/00 A3000 1000 67 100 290/18 RMK AO2
94908KDBQ DBQ20050501081009705/01/05 08:10:31  5-MIN KDBQ 011410Z 31015KT 10SM SCT027 06/M01 A3000 1000 62 100 310/15 RMK AO2
94908KDBQ DBQ20050501081509705/01/05 08:15:31  5-MIN KDBQ 011415Z 29016KT 10SM SCT027 06/M01 A3000 1000 62 100 290/16 RMK AO2
94908KDBQ DBQ20050501082010405/01/05 08:20:31  5-MIN KDBQ 011420Z 30013G20KT 10SM SCT027 06/M01 A3000  1000 62 100 300/13G20 RMK AO2
94908KDBQ DBQ20050501082510405/01/05 08:25:31  5-MIN KDBQ 011425Z 30016G20KT 10SM SCT027 06/M01 A3000  1000 62 100 300/16G20 RMK AO2
94908KDBQ DBQ20050501083010405/01/05 08:30:31  5-MIN KDBQ 011430Z 29017G20KT 10SM SCT027 06/M01 A3000  1000 62 200 290/17G20 RMK AO2
94908KDBQ DBQ20050501083510405/01/05 08:35:31  5-MIN KDBQ 011435Z 29014G20KT 10SM SCT027 06/M01 A3000  1000 62 100 290/14G20 RMK AO2
94908KDBQ DBQ20050501084010405/01/05 08:40:31  5-MIN KDBQ 011440Z 31018G22KT 10SM SCT027 06/M01 A3000  1000 60 200 310/18G22 RMK AO2
94908KDBQ DBQ20050501084510405/01/05 08:45:31  5-MIN KDBQ 011445Z 29017G22KT 10SM SCT027 06/M01 A3001  1000 60 200 290/17G22 RMK AO2
94908KDBQ DBQ20050501085012705/01/05 08:50:31  5-MIN KDBQ 011450Z 28018G24KT 10SM SCT027 06/M02 A3001  1000 57 200 280/18G24 RMK AO2 SLP170 T00611017 53002
94908KDBQ DBQ20050501085512705/01/05 08:55:31  5-MIN KDBQ 011455Z 30017G24KT 10SM SCT027 06/M02 A3001  1000 55 200 300/17G24 RMK AO2 SLP171 T00611022 51008
94908KDBQ DBQ20050501090010305/01/05 09:00:31  5-MIN KDBQ 011500Z 31015G22KT 10SM SCT036 07/M02 A3001  990 55 300 310/15G22 RMK AO2
94908KDBQ DBQ20050501090510405/01/05 09:05:31  5-MIN KDBQ 011505Z 29015G22KT 10SM SCT038 06/M02 A3001  1000 55 200 290/15G22 RMK AO2
94908KDBQ DBQ20050501091010905/01/05 09:10:31  5-MIN KDBQ 011510Z 28021G24KT 10SM SCT038 SCT047 07/M02 A3001 990 53 300 280/21G24 RMK AO2
94908KDBQ DBQ20050501091510905/01/05 09:15:31  5-MIN KDBQ 011515Z 29016G24KT 10SM SCT038 SCT047 06/M03 A3001 990 55 100 290/16G24 RMK AO2
94908KDBQ DBQ20050501092010905/01/05 09:20:31  5-MIN KDBQ 011520Z 29017G24KT 10SM FEW038 SCT060 07/M02 A3001 990 53 300 290/17G24 RMK AO2
94908KDBQ DBQ20050501092511605/01/05 09:25:31  5-MIN KDBQ 011525Z 29015G24KT 10SM SCT038 SCT047 BKN060 06/M03 A3002 990 55 100 290/15G24 RMK AO2
94908KDBQ DBQ20050501093011605/01/05 09:30:31  5-MIN KDBQ 011530Z 28015G21KT 10SM SCT038 SCT047 BKN060 06/M03 A3002 990 53 200 280/15G21 RMK AO2
94908KDBQ DBQ20050501093511605/01/05 09:35:31  5-MIN KDBQ 011535Z 29016G22KT 10SM FEW038 SCT047 BKN060 07/M02 A3002 990 51 300 290/16G22 RMK AO2
94908KDBQ DBQ20050501094011605/01/05 09:40:31  5-MIN KDBQ 011540Z 30015G22KT 10SM SCT042 SCT050 BKN060 07/M03 A3002 990 51 300 300/15G22 RMK AO2
94908KDBQ DBQ20050501094511605/01/05 09:45:31  5-MIN KDBQ 011545Z 30018G22KT 10SM SCT042 BKN050 BKN060 07/M03 A3002 990 49 300 300/18G22 RMK AO2
94908KDBQ DBQ20050501095012105/01/05 09:50:31  5-MIN KDBQ 011550Z 28018KT 10SM BKN045 BKN060 07/M03  A3002 990 49 300 280/18 RMK AO2 SLP173 T00671033
94908KDBQ DBQ20050501095512605/01/05 09:55:31  5-MIN KDBQ 011555Z 28016G24KT 10SM BKN046 BKN060 07/M03 A3002 990 49 300 270/16G24 RMK AO2 SLP173 T00671033
94908KDBQ DBQ20050501100010905/01/05 10:00:31  5-MIN KDBQ 011600Z 31018G24KT 10SM BKN049 BKN060 06/M04 A3002 990 48 200 310/18G24 RMK AO2
94908KDBQ DBQ20050501100510905/01/05 10:05:31  5-MIN KDBQ 011605Z 29018G24KT 10SM SCT049 BKN060 07/M04 A3002 990 47 300 290/18G24 RMK AO2
94908KDBQ DBQ20050501101010905/01/05 10:10:31  5-MIN KDBQ 011610Z 27019G23KT 10SM SCT049 BKN060 07/M04 A3002 990 45 300 270/19G23 RMK AO2
94908KDBQ DBQ20050501101510905/01/05 10:15:31  5-MIN KDBQ 011615Z 30019G24KT 10SM SCT049 BKN060 06/M05 A3002 990 45 200 290/19G24 RMK AO2
94908KDBQ DBQ20050501102010305/01/05 10:20:31  5-MIN KDBQ 011620Z 28021G24KT 10SM BKN055 07/M06 A3002  990 39 300 280/21G24 RMK AO2
94908KDBQ DBQ20050501102510305/01/05 10:25:31  5-MIN KDBQ 011625Z 32017G21KT 10SM OVC055 06/M05 A3002  990 45 200 310/17G21 RMK AO2
94908KDBQ DBQ20050501103010305/01/05 10:30:31  5-MIN KDBQ 011630Z 30016G21KT 10SM OVC055 06/M05 A3002  990 45 200 300/16G21 RMK AO2
94908KDBQ DBQ20050501103509605/01/05 10:35:31  5-MIN KDBQ 011635Z 29017KT 10SM OVC055 06/M05 A3002 990 45 200 290/17 RMK AO2
94908KDBQ DBQ20050501104009605/01/05 10:40:31  5-MIN KDBQ 011640Z 28017KT 10SM OVC055 07/M05 A3002 990 43 300 280/17 RMK AO2
94908KDBQ DBQ20050501104510905/01/05 10:45:31  5-MIN KDBQ 011645Z 30021G25KT 10SM BKN055 OVC070 06/M05 A3002 990 45 200 300/21G25 RMK AO2
94908KDBQ DBQ20050501105012005/01/05 10:50:31  5-MIN KDBQ 011650Z 31017G25KT 10SM OVC055 07/M05 A3002  990 43 300 310/17G25 RMK AO2 SLP173 T00671050
94908KDBQ DBQ20050501105512005/01/05 10:55:31  5-MIN KDBQ 011655Z 30019G23KT 10SM OVC060 06/M05 A3002  990 45 200 300/19G23 RMK AO2 SLP175 T00611050
94908KDBQ DBQ20050501110010905/01/05 11:00:31  5-MIN KDBQ 011700Z 30018G23KT 10SM BKN055 OVC070 07/M06 A3002 990 41 300 300/18G23 RMK AO2
94908KDBQ DBQ20050501110510905/01/05 11:05:31  5-MIN KDBQ 011705Z 28020G25KT 10SM BKN060 OVC070 07/M06 A3002 990 41 300 280/20G25 RMK AO2
94908KDBQ DBQ20050501111010305/01/05 11:10:31  5-MIN KDBQ 011710Z 28016G25KT 10SM OVC060 06/M05 A3003  970 45 200 280/16G25 RMK AO2
94908KDBQ DBQ20050501111510905/01/05 11:15:31  5-MIN KDBQ 011715Z 29019G23KT 10SM BKN055 OVC070 07/M05 A3003 970 43 200 290/19G23 RMK AO2
94908KDBQ DBQ20050501112010905/01/05 11:20:31  5-MIN KDBQ 011720Z 29020G24KT 10SM BKN060 OVC070 07/M05 A3003 970 43 200 290/20G24 RMK AO2
94908KDBQ DBQ20050501112510905/01/05 11:25:31  5-MIN KDBQ 011725Z 29019G25KT 10SM BKN060 OVC075 06/M06 A3003 970 43 200 290/19G25 RMK AO2
94908KDBQ DBQ20050501113010305/01/05 11:30:31  5-MIN KDBQ 011730Z 29018G25KT 10SM OVC065 06/M06 A3003  980 43 200 280/18G25 RMK AO2
94908KDBQ DBQ20050501113510405/01/05 11:35:31  5-MIN KDBQ 011735Z 30016KT 10SM FEW055 OVC070 06/M06  A3003 980 43 200 300/16 RMK AO2
94908KDBQ DBQ20050501114009605/01/05 11:40:31  5-MIN KDBQ 011740Z 29017KT 10SM OVC070 06/M06 A3003 980 43 200 290/17 RMK AO2
94908KDBQ DBQ20050501114509605/01/05 11:45:31  5-MIN KDBQ 011745Z 29013KT 10SM OVC070 06/M06 A3002 980 43 200 290/13 RMK AO2
